Molecule,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
Molecule 1,ONC(=O)/C=C/c1cccc(c1)S(=O)(=O)Nc1ccccc1,C15H14N2O4S,318.35,22,12,0,6,4,3,82.18,103.88,0.61,1.66,2.79,1.55,0.72,1.47,-2.87,4.32E-01,1.36E-03,Soluble,-3.46,1.12E-01,3.51E-04,Soluble,-4.39,1.31E-02,4.10E-05,Moderately soluble,High,No,No,No,No,No,No,No,-7.06,0,0,0,0,0,0.55,0,3,0,2.94
Molecule 2,CN1CCC[C@@H]1Cc1c[nH]c2c1cc(cc2)CCS(=O)(=O)c1ccccc1,C22H26N2O2S,382.52,27,15,0.36,6,3,1,114.38,61.55,2.99,4.09,4.52,3.22,4.41,3.85,-4.8,6.01E-03,1.57E-05,Moderately soluble,-5.09,3.12E-03,8.17E-06,Moderately soluble,-7.48,1.27E-05,3.33E-08,Poorly soluble,High,Yes,Yes,Yes,Yes,Yes,Yes,Yes,-5.73,0,0,0,0,0,0.55,0,0,2,3.53
Molecule 3,CN1CCC[C@@H]1Cc1c[nH]c2c1cc(cc2)CCS(=O)(=O)c1ccccc1.Br,C22H27BrN2O2S,463.43,28,15,0.36,6,3,1,124.42,61.55,0,5.06,5.48,3.54,4.41,3.7,-5.9,5.81E-04,1.25E-06,Moderately soluble,-6.09,3.73E-04,8.04E-07,Poorly soluble,-7.48,1.54E-05,3.33E-08,Poorly soluble,High,No,Yes,Yes,No,No,Yes,Yes,-5.53,0,0,0,0,1,0.55,0,0,2,3.62
Molecule 4,CCCCOc1ccc(cc1)CC(=O)NO,C12H17NO3,223.27,16,6,0.42,7,3,2,60.86,58.56,1.79,2.08,1.91,1.8,1.9,1.9,-2.35,9.97E-01,4.47E-03,Soluble,-2.94,2.57E-01,1.15E-03,Soluble,-3.58,5.91E-02,2.65E-04,Soluble,High,Yes,No,No,No,No,No,No,-6.19,0,0,0,0,0,0.55,0,2,1,1.86
Molecule 5,CC(COc1ccc(cc1)CNC(=O)N(C1CCN(CC1)C)Cc1ccc(cc1)F)C,C25H34FN3O2,427.55,31,12,0.48,10,4,1,126.21,44.81,4.58,4.53,4.4,3.76,4.19,4.29,-4.97,4.57E-03,1.07E-05,Moderately soluble,-5.19,2.74E-03,6.41E-06,Moderately soluble,-7.09,3.51E-05,8.20E-08,Poorly soluble,High,Yes,No,No,Yes,No,Yes,Yes,-5.69,0,0,0,0,0,0.55,0,0,3,3.02
Molecule 6,CS(=O)(=O)O.O=C1CN2[C@H]3C[C@H]1C[C@@H]2C[C@@H](C3)OC(=O)c1c[nH]c2c1cccc2.O,C20H26N2O7S,438.49,30,9,0.5,3,8,3,114.01,134.38,1.27,-0.94,2.66,0.47,2.52,1.2,-1.99,4.48E+00,1.02E-02,Very soluble,-1.4,1.75E+01,4.00E-02,Very soluble,-4.02,4.18E-02,9.53E-05,Moderately soluble,High,No,No,No,No,No,No,No,-9.64,0,0,0,1,0,0.55,0,1,1,4.58
Molecule 7,CCCCOc1ccc(cc1)OCCCN1CCOCC1.Cl,C17H28ClNO3,329.86,22,6,0.65,9,4,0,95.44,30.93,0,3.94,3.39,2.07,3.65,2.61,-3.98,3.49E-02,1.06E-04,Soluble,-4.29,1.69E-02,5.14E-05,Moderately soluble,-4.87,4.43E-03,1.34E-05,Moderately soluble,High,Yes,Yes,Yes,No,No,Yes,No,-5.51,0,0,0,0,0,0.55,0,0,2,2.51
Molecule 8,CCCCOc1ccc(cc1)OCCCN1CCOCC1,C17H27NO3,293.4,21,6,0.65,9,4,0,88.47,30.93,3.91,3.14,2.59,1.83,3.65,3.02,-3.25,1.63E-01,5.56E-04,Soluble,-3.46,1.02E-01,3.47E-04,Soluble,-4.87,3.94E-03,1.34E-05,Moderately soluble,High,Yes,No,No,No,No,Yes,No,-5.86,0,0,0,0,0,0.55,0,0,1,2.42
Molecule 9,CCCCOc1ccc(cc1)C(=O)CCN1CCCCC1.Cl,C18H28ClNO2,325.87,22,6,0.61,8,3,0,98.05,29.54,0,5.21,4.35,2.8,4.29,3.33,-4.82,4.97E-03,1.53E-05,Moderately soluble,-5.58,8.61E-04,2.64E-06,Moderately soluble,-5.22,1.98E-03,6.08E-06,Moderately soluble,High,Yes,Yes,Yes,No,No,Yes,No,-4.59,0,0,0,0,1,0.55,0,0,2,2.24
Molecule 10,CCCCOc1ccc(cc1)C(=O)CCN1CCCCC1,C18H27NO2,289.41,21,6,0.61,8,3,0,91.09,29.54,3.64,4.41,3.54,2.56,4.29,3.69,-4.1,2.32E-02,8.02E-05,Moderately soluble,-4.75,5.17E-03,1.79E-05,Moderately soluble,-5.22,1.76E-03,6.08E-06,Moderately soluble,High,Yes,No,Yes,No,No,Yes,No,-4.93,0,0,0,0,0,0.55,0,0,2,2.15
