molecule_chembl_id,canonical_smiles,pchembl_value,bioactivity_class
CHEMBL80814,COc1ccc(CCN2CCC(C(=O)NO)(S(=O)(=O)c3ccc(OC)cc3)CC2)cc1,7.47,1
CHEMBL276119,COc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(Cc3cccc(OC)c3)CC2)cc1,8.05,1
CHEMBL78369,O=C(NO)C1(S(=O)(=O)c2ccc(OCc3ccccc3)cc2)CCN(Cc2ccccc2)CC1,8.52,1
CHEMBL514138,COc1ccc(S(=O)(=O)N(Cc2cccnc2)[C@@H](C(=O)NO)C(C)C)cc1.Cl,8.05,1
CHEMBL80453,COc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(CCCOc3ccccc3)CC2)cc1,7.36,1
CHEMBL306617,CCCCOc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(CCOc3ccccc3)CC2)cc1,8.3,1
CHEMBL79111,CCCCOc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(CC)CC2)cc1,7.37,1
CHEMBL80969,COc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(Cc3ccccc3)CC2)cc1,8.0,1
CHEMBL76137,COc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(Cc3ccc(-c4ccccc4)cc3)CC2)cc1,7.89,1
CHEMBL310340,CCCCOc1ccc(S(=O)(=O)C2(C(=O)NO)CCOCC2)cc1,8.04,1
CHEMBL440498,O=C(NO)C1(CS(=O)(=O)c2ccc(Oc3ccc(Cl)cc3)cc2)CCOCC1,8.52,1
CHEMBL312429,COc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(Cc3ccc4ccccc4c3)CC2)cc1,8.3,1
CHEMBL78549,CCN1CCC(C(=O)NO)(S(=O)(=O)c2ccc(Oc3ccc(Cl)cc3)cc2)CC1,9.0,1
CHEMBL78508,CC(C)CCOc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(Cc3ccccc3)CC2)cc1,8.4,1
CHEMBL80732,O=C(NO)C1(S(=O)(=O)c2ccc(Oc3ccc(Cl)cc3)cc2)CCNCC1,8.7,1
CHEMBL309311,CCCCOc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(Cc3cccc(OC)c3)CC2)cc1,8.52,1
CHEMBL78299,COc1ccc(S(=O)(=O)C(C)(Cc2ccc(OCCN3CCCCC3)cc2)C(=O)NO)cc1,8.05,1
CHEMBL310684,COc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(CC=C(C)C)CC2)cc1,7.41,1
CHEMBL77505,COc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(C(C)(C)C)CC2)cc1,6.19,1
CHEMBL80321,CCC(CC)Oc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(Cc3ccccc3)CC2)cc1,7.85,1
CHEMBL80183,COc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(Cc3ccc(-c4cccs4)cc3)CC2)cc1,7.96,1
CHEMBL312770,COc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(CCCc3ccccc3)CC2)cc1,7.89,1
CHEMBL78337,CN1CCC(C(=O)NO)(S(=O)(=O)c2ccc(Oc3ccc(Cl)cc3)cc2)CC1,8.7,1
