canonical_smiles,molecule_chembl_id,pchembl_value,bioactivity_class
C#CC(C)Oc1ccc(S(=O)(=O)N(C)c2c(C)cc(Br)cc2C(=O)NO)cc1,CHEMBL19279,6.34,1.0
C#CCC(CC#C)(C(=O)NO)S(=O)(=O)c1ccc(OC)cc1,CHEMBL306158,6.85,1.0
C#CCC(Cc1cccnc1)(C(=O)NO)S(=O)(=O)c1ccc(OC)cc1,CHEMBL76878,7.08,1.0
C#CCN([C@@H](C(=O)NO)C(C)C)S(=O)(=O)c1ccc(OC)cc1,CHEMBL2064545,8.7,1.0
C#CCN1CCC(C(=O)NO)(S(=O)(=O)c2ccc(Oc3ccc(C(C)C)cc3)cc2)CC1,CHEMBL1801413,8.7,1.0
C#CCN1CCC(C(=O)NO)(S(=O)(=O)c2ccc(Oc3ccc(OC)cc3)cc2)CC1,CHEMBL1801056,8.82,1.0
C#CCN1CCC(C(=O)NO)(S(=O)(=O)c2ccc(Oc3ccc(S(C)(=O)=O)cc3)cc2)CC1,CHEMBL1801418,7.08,1.0
C#CCN1CCC(C(=O)NO)(S(=O)(=O)c2ccc(Oc3ccc4c(c3)OCO4)cc2)CC1,CHEMBL1801420,9.52,1.0
C#CCN1CCC(C(=O)NO)(S(=O)(=O)c2ccc(Sc3ccccc3)cc2)CC1,CHEMBL1082381,8.82,1.0
C#CCNc1ccc(S(=O)(=O)N(C)CC(=O)NO)cc1,CHEMBL94386,5.82,1.0
C#CCOCCOCCOCCOCCOc1ccc(CN([C@@H](C(=O)NO)C(C)C)S(=O)(=O)c2ccc(OC)cc2)cc1,CHEMBL2064542,9.43,1.0
C#CCOc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(Cc3ccc(Br)cc3)CC2)cc1,CHEMBL221717,8.22,1.0
C#CCOc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(Cc3ccccc3)CC2)cc1,CHEMBL373831,7.75,1.0
C#CCOc1ccc(S(=O)(=O)N(C)c2c(C)cc(Br)cc2C(=O)NO)cc1,CHEMBL278060,7.82,1.0
C/C=C/C=C(\CC(=O)NO)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NC,CHEMBL237078,6.01,1.0
C/C=C/C=C/C=C1/C=C(CCC(=O)NO)C(=O)OC1,CHEMBL455409,7.64,1.0
C/C=C/C=C\C=C1\C=C(CCC(=O)NO)C(=O)OC1,CHEMBL253313,7.64,1.0
C=C(F)C[C@@H](C(=O)NO)N(Cc1cccnc1)S(=O)(=O)c1ccc(OC)cc1,CHEMBL3585774,8.31,1.0
C=C(F)C[C@@H](C(=O)O)N(Cc1cccnc1)S(=O)(=O)c1ccc(OC)cc1,CHEMBL3585772,4.0,0.0
C=C(F)C[C@H](C(=O)NO)N(Cc1cccnc1)S(=O)(=O)c1ccc(OC)cc1,CHEMBL3585773,8.08,1.0
C=C(F)C[C@H](C(=O)O)N(Cc1cccnc1)S(=O)(=O)c1ccc(OC)cc1,CHEMBL3585771,4.0,0.0
C=CC1[C@H](C(=O)NO)N(S(=O)(=O)c2ccc(OC)cc2)CC1(C)C,CHEMBL104446,6.86,1.0
C=CCC(CC=C)(C(=O)NO)S(=O)(=O)c1ccc(OC)cc1,CHEMBL76970,7.46,1.0
C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O,CHEMBL447,5.58,1.0
C=CC[C@@H](C(=O)NO)N(Cc1cccnc1)S(=O)(=O)c1ccc(OC)cc1,CHEMBL3585770,8.19,1.0
C=CC[C@@H](C(=O)O)N(Cc1cccnc1)S(=O)(=O)c1ccc(OC)cc1,CHEMBL3585768,4.0,0.0
C=CC[C@H](C(=O)NO)C(CC(C)C)C(=O)N[C@@H](Cc1ccccc1)C(=O)NC,CHEMBL5187653,8.52,1.0
C=CC[C@H](C(=O)NO)N(Cc1cccnc1)S(=O)(=O)c1ccc(OC)cc1,CHEMBL3585769,9.27,1.0
C=CC[C@H](C(=O)O)N(Cc1cccnc1)S(=O)(=O)c1ccc(OC)cc1,CHEMBL3585767,5.77,1.0
C=Cc1cccc2c(N(C)S(=O)(=O)c3ccc(OC)cc3)c(C(=O)NO)cnc12,CHEMBL38106,8.3,1.0
CC#CCOC(=O)c1cccc(=O)[nH]1,CHEMBL254837,4.17,0.0
CC#CCOc1ccc(S(=O)(=O)C(C(=O)NO)C(C)C)cc1,CHEMBL222594,5.9,1.0
CC#CCOc1ccc(S(=O)(=O)C(C(=O)NO)C2CC[S+]([O-])CC2)cc1,CHEMBL222303,5.0,0.0
CC#CCOc1ccc(S(=O)(=O)C(C(=O)NO)c2ccccc2)cc1,CHEMBL222309,6.91,1.0
CC#CCOc1ccc(S(=O)(=O)C(CCCCCC)C(=O)NO)cc1,CHEMBL376314,5.6,1.0
CC#CCOc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(Cc3ccc(Br)cc3)CC2)cc1,CHEMBL222854,6.42,1.0
CC#CCOc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(Cc3ccc(OC)cc3)CC2)cc1,CHEMBL222714,6.79,1.0
CC#CCOc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(Cc3ccccc3)CC2)cc1,CHEMBL385312,6.83,1.0
CC#CCOc1ccc(S(=O)(=O)CC2(C(=O)NO)CCN(C(=O)C(C)(CO)CO)CC2)cc1,CHEMBL211274,6.01,1.0
CC#CCOc1ccc(S(=O)(=O)CC2(C(=O)NO)CCN(C(=O)CCCCC)CC2)cc1,CHEMBL212205,5.97,1.0
CC#CCOc1ccc(S(=O)(=O)CC2(C(=O)NO)CCN(C(=O)CCCN(C)C)CC2)cc1,CHEMBL425783,5.67,1.0
CC#CCOc1ccc(S(=O)(=O)CC2(C(=O)NO)CCN(C(=O)CN3CCOCC3)CC2)cc1,CHEMBL208841,6.06,1.0
CC#CCOc1ccc(S(=O)(=O)CC2(C(=O)NO)CCN(C(=O)c3ccc(C)cc3)CC2)cc1,CHEMBL377862,6.04,1.0
CC#CCOc1ccc(S(=O)(=O)CC2(C(=O)NO)CCN(C(=O)c3ccccc3)CC2)cc1,CHEMBL212481,6.34,1.0
CC#CCOc1ccc(S(=O)(=O)CC2(C(=O)NO)CCN(C(=O)c3ccccc3C)CC2)cc1,CHEMBL211726,7.17,1.0
CC#CCOc1ccc(S(=O)(=O)CC2(C(=O)NO)CCN(C(=O)c3ccncc3)CC2)cc1,CHEMBL377317,6.72,1.0
CC#CCOc1ccc(S(=O)(=O)CC2(C(=O)NO)CCN(C(C)=O)CC2)cc1,CHEMBL380049,6.23,1.0
CC#CCOc1ccc(S(=O)(=O)CC2(C(=O)NO)CCN(Cc3c(Cl)cncc3Cl)CC2)cc1,CHEMBL232086,6.04,1.0
CC#CCOc1ccc(S(=O)(=O)CC2(C(=O)NO)CCN(S(=O)(=O)C(C)C)CC2)cc1,CHEMBL209970,5.78,1.0
CC#CCOc1ccc(S(=O)(=O)CC2(C(=O)NO)CCN(S(=O)(=O)CCCC)CC2)cc1,CHEMBL379763,7.72,1.0
CC#CCOc1ccc(S(=O)(=O)CC2(C(=O)NO)CCN(S(=O)(=O)Cc3ccccc3)CC2)cc1,CHEMBL210133,7.72,1.0
CC#CCOc1ccc(S(=O)(=O)CC2(C(=O)NO)CCN(c3c(C)noc3C)CC2)cc1,CHEMBL484262,5.26,0.0
CC#CCOc1ccc(S(=O)(=O)N(C)C(C(=O)NO)C(C)(C)SCc2cccnc2)cc1,CHEMBL96637,8.4,1.0
CC#CCOc1ccc(S(=O)(=O)N(C)C(CSCc2cccnc2)C(=O)NO)cc1,CHEMBL316298,7.85,1.0
CC#CCOc1ccc(S(=O)(=O)N(C)CC(=O)NO)cc1,CHEMBL321556,6.51,1.0
CC#CCOc1ccc(S(=O)(=O)N(C)CCC(=O)NO)cc1,CHEMBL96419,7.28,1.0
CC#CCOc1ccc(S(=O)(=O)N(C)[C@@H](C(=O)NO)C(C)C)cc1,CHEMBL94357,7.96,1.0
CC#CCOc1ccc(S(=O)(=O)N(C)[C@@H](C(=O)NO)c2ccc(OCCNC)cc2)cc1,CHEMBL98061,7.96,1.0
CC#CCOc1ccc(S(=O)(=O)N(C)[C@H](C)C(=O)NO)cc1,CHEMBL94643,7.17,1.0
CC#CCOc1ccc(S(=O)(=O)N(C)c2c(C(=O)NO)cc(-c3ccccc3)cc2C2CCN(C)CC2)cc1,CHEMBL19278,7.55,1.0
CC#CCOc1ccc(S(=O)(=O)N(C)c2c(C(=O)NO)cc(Br)cc2C2CCN(C)CC2)cc1,CHEMBL18667,6.78,1.0
CC#CCOc1ccc(S(=O)(=O)N(C)c2c(C(=O)NO)cnc3c(OC)cccc23)cc1,CHEMBL288671,7.48,1.0
CC#CCOc1ccc(S(=O)(=O)N(C)c2c(C(=O)NO)cnc3c2c(C)nn3C)cc1,CHEMBL289222,7.0,1.0
CC#CCOc1ccc(S(=O)(=O)N(C)c2c(C(=O)NO)cnc3onc(C)c23)cc1,CHEMBL36309,6.61,1.0
CC#CCOc1ccc(S(=O)(=O)N(C)c2c(C(=O)NO)cnc3snc(C)c23)cc1,CHEMBL417144,7.02,1.0
CC#CCOc1ccc(S(=O)(=O)N(C)c2c(C)cc(Br)cc2C(=O)NO)cc1,CHEMBL19005,6.52,1.0
CC#CCOc1ccc(S(=O)(=O)N(CC(=O)NO)Cc2cccnc2)cc1,CHEMBL92927,7.4,1.0
CC#CCOc1ccc(S(=O)(=O)N(CC(C)C)[C@H](CCN2C(=O)c3ccccc3C2=O)C(=O)NO)cc1,CHEMBL1088878,7.89,1.0
CC#CCOc1ccc(S(=O)(=O)N2CCN(C(=O)CCCC)CC2C(=O)NO)cc1,CHEMBL198100,6.68,1.0
CC#CCOc1ccc(S(=O)(=O)N2CCN(C(=O)N(CC)CC)CC2C(=O)NO)cc1,CHEMBL370825,6.66,1.0
CC#CCOc1ccc(S(=O)(=O)N2CCN(C(=O)OC)CC2C(=O)NO)cc1,CHEMBL372908,7.15,1.0
CC#CCOc1ccc(S(=O)(=O)N2CCN(C(=O)c3cccs3)CC2C(=O)NO)cc1,CHEMBL381224,6.6,1.0
CC#CCOc1ccc(S(=O)(=O)N2CCN(C(C)=O)CC2C(=O)NO)cc1,CHEMBL195948,7.06,1.0
CC#CCOc1ccc(S(=O)(=O)N2CCN(Cc3cccnc3)CC2C(=O)NO)cc1,CHEMBL194627,6.97,1.0
CC#CCOc1ccc(S(=O)(=O)N2CCN(S(C)(=O)=O)CC2C(=O)NO)cc1,CHEMBL194237,7.29,1.0
CC#CCOc1ccc(S(=O)(=O)N2CCNCC2C(=O)NO)cc1,CHEMBL436324,7.85,1.0
CC#CCOc1ccc(S(=O)(=O)N2CCOCC2C(=O)NO)cc1,CHEMBL196092,6.77,1.0
CC#CCOc1ccc(S(=O)(=O)N2CCSC(C)(C)C2C(=O)NO)cc1,CHEMBL382975,7.92,1.0
CC#CCOc1ccc(S(=O)(=O)N2CCSCC2C(=O)NO)cc1,CHEMBL370129,7.68,1.0
CC#CCOc1ccc(S(=O)(=O)N2Cc3ccccc3N(C(=O)C3CC3)CC2C(=O)NO)cc1,CHEMBL95460,7.48,1.0
CC#CCOc1ccc(S(=O)(=O)N2Cc3ccccc3N(C(=O)c3ccccc3)CC2C(=O)NO)cc1,CHEMBL95693,7.45,1.0
CC#CCOc1ccc(S(=O)(=O)N2Cc3ccccc3N(C(C)=O)CC2C(=O)NO)cc1,CHEMBL97790,6.64,1.0
CC#CCOc1ccc(S(=O)(=O)N2Cc3ccccc3N(S(C)(=O)=O)CC2C(=O)NO)cc1,CHEMBL95262,7.02,1.0
CC#CCOc1ccc(S(=O)(=O)NC(C(=O)NO)C(C)(C)SCc2cccnc2)cc1,CHEMBL316928,6.89,1.0
CC#CCOc1ccc(S(=O)(=O)NC(C)(C)C(=O)NO)cc1,CHEMBL94363,5.86,1.0
CC#CCOc1ccc(S(=O)(=O)NC(CSCc2cccnc2)C(=O)NO)cc1,CHEMBL96396,6.8,1.0
CC#CCOc1ccc(S(=O)(=O)NCC(=O)NO)cc1,CHEMBL94715,6.12,1.0
CC#CCOc1ccc(S(=O)(=O)NCCC(=O)NO)cc1,CHEMBL97762,7.75,1.0
CC#CCOc1ccc(S(=O)(=O)N[C@@H](C(=O)NO)C(C)(C)C)cc1,CHEMBL317624,6.65,1.0
CC#CCOc1ccc(S(=O)(=O)N[C@@H](C(=O)NO)C(C)C)cc1,CHEMBL328751,7.38,1.0
CC#CCOc1ccc(S(=O)(=O)N[C@@H](C(=O)NO)C(C)O)cc1,CHEMBL96417,6.11,1.0
CC#CCOc1ccc(S(=O)(=O)N[C@@H](C(=O)NO)[C@H](C)O)cc1,CHEMBL484261,6.11,1.0
CC#CCOc1ccc(S(=O)(=O)N[C@@H](C(=O)NO)c2ccc(OCCNC)cc2)cc1,CHEMBL96636,6.46,1.0
CC#CCOc1ccc(S(=O)(=O)N[C@H](C)C(=O)NO)cc1,CHEMBL94948,6.1,1.0
CC#CCOc1ccc(S(=O)(=O)N[C@H](CCN2C(=O)c3ccccc3C2=O)C(=O)NO)cc1,CHEMBL1089843,8.46,1.0
CC#CCOc1ccc(S(=O)(=O)N[C@H](CCNC(=O)OCc2ccccc2)C(=O)NO)cc1,CHEMBL1089842,7.34,1.0
CC#CCOc1ccc(SC(C(=O)NO)C2CCCCC2)cc1,CHEMBL222992,5.52,1.0
CC#CCOc1ccc(SC(CCCCCC)C(=O)NO)cc1,CHEMBL223888,5.52,1.0
CC#CCOc1ccc([S@+]([O-])[C@H](CCCCCC)C(=O)NO)cc1,CHEMBL3350246,6.0,1.0
CC#CCOc1ccc([S@@+]([O-])[C@@H](CCCCCC)C(=O)NO)cc1,CHEMBL3350685,5.82,1.0
CC#CCOc1ccc([S@@+]([O-])[C@H](C(=O)NO)C(C)C)cc1,CHEMBL3085322,6.4,1.0
CC#CCSc1ccc(S(=O)(=O)N(C)CC(=O)NO)cc1,CHEMBL94518,6.96,1.0
CC(=O)N(C[C@H](O)C(=O)NO)c1ccc(Oc2ccc(Cl)cc2)cc1,CHEMBL257724,6.03,1.0
CC(=O)N1CC2(CC2)C[C@H](C(=O)NO)[C@H]1C(=O)N1C=CC(c2ccccc2)CC1,CHEMBL252877,6.8,1.0
CC(=O)N1CCC(C(=O)NO)(S(=O)(=O)c2ccc(Oc3ccc(OC(F)(F)F)cc3)cc2)CC1,CHEMBL1801396,10.0,1.0
CC(=O)N1CCCN(C2(c3ccc(Oc4ccccc4)cc3)C(=O)NC(=O)NC2=O)CC1,CHEMBL1812924,8.82,1.0
CC(=O)N1CCC[C@H]1C(=O)N(C)[C@@H](CCC(N)=O)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NO,CHEMBL5916829,4.66,0.0
CC(=O)N1CCN(C2(c3ccc(Oc4ccccc4)cc3)C(=O)NC(=O)NC2=O)CC1,CHEMBL1812920,7.85,1.0
